Caso;Candidato;Ano;CodPart;PartCand;FamPart;ColigCand;PartColig;NumPartColig;Dom1;Dom2;Dom3;Dom4;Dom5;Dom6;Dom7;Politica;Economia;Social;Cat0;Cat101;Cat103.1;Cat103.2;Cat104;Cat105;Cat106;Cat107;Cat108;Cat109;Cat110;Cat201.1;Cat201.2;Cat202.1;Cat202.2;Cat202.3;Cat202.4;Cat203;Cat204;Cat301;Cat302;Cat303;Cat304;Cat305.1;Cat305.2;Cat305.3;Cat305.5;Cat305.6;Cat401;Cat402;Cat403;Cat404;Cat405;Cat406;Cat407;Cat408;Cat409;Cat410;Cat411;Cat412;Cat413;Cat414;Cat415;Cat416.1;Cat416.2;Cat501;Cat502;Cat503;Cat504;Cat505;Cat506;Cat507;Cat601.1;Cat602.1;Cat602.2;Cat603;Cat604;Cat605.1;Cat605.2;Cat606.1;Cat606.2;Cat607.1;Cat607.2;Cat607.3;Cat608.1;Cat701;Cat702;Cat703.1;Cat703.2;Cat704;Cat705;Cat706;MerEst;ProgCons;Etnonat;Markeco;Planeco;Welfare;AutDem;Dom1 Esq;Dom1 Dir;Dom1 Out;Dom1 Total;Dom2 Esq;Dom2 Dir;Dom2 Out;Dom2 Tot;Dom3 Esq;Dom3 Dir;Dom3 Out;Dom3 Total;Dom4 Esq;Dom4  Dir;Dom4 Out;Dom4 Total;Dom5 Esq;Dom5 Dir;Dom5 Out;Dom5 Toral;Dom6 Esq;Dom6 Dir;Dom6 Out;Dom6 Total;Dom7 Esq;Dom7 Dir;Dom7 Out;Dom7 Total;Dom Pol Esq;Dom Pol Dir;Dom Pol Out;fom Pol Total;Dom Ec Esq;Dom Ec Dir;Dom Ec Out;Dom Ec Total;Dom Soc Esq;Dom Soc Dir;Dom Soc Out;Dom Soc Total;RILE;IAD;IV;IPC
10;Ciro Gomes;2002;180320;PPS;Partido Social Democrata;Frente Trabalhista;PPS, PDT e PTB;3;13.836;7.547;8.805;36.164;23.113;6.132;4.403;0.29675425;0.582689335;0.103554869;1.73;0;1.415;2.83;2.044;0.472;0.157;5.818;0.786;0;0.314;0.157;0.472;4.56;0;0.157;0.472;0.472;1.258;2.201;0.786;3.145;2.516;0.157;0;0;0;0;2.044;2.987;4.245;0.314;0;3.145;0.629;3.774;0;9.119;6.604;0.943;0.472;1.73;0;0;0.157;1.415;1.101;10.063;5.818;0.157;4.56;0;0.472;0;0.472;0;0;3.145;0.157;1.258;0.314;0.314;0;0;0;1.73;0;2.201;0;0.472;0;0;-7.547;-12.893;0.472;3.774;5.503;15.881;-4.245;68;13;7;88;33;7;8;48;0;1;55;56;58;47;125;230;66;1;80;147;0;34;5;39;11;0;17;28;101;21;70;192;124;48;205;377;11;34;22;67;-20.912;-4.246;-8.962;-12.421
12;José Serra;2002;180310;PSDB;Partidos Conservadores;Grande Aliança; PSDB e PMDB;2;6.052;6.268;7.061;32.997;27.161;8.501;11.96;0.192555476;0.597709377;0.20329277;0.648;0;0.432;0.072;1.945;0;0.865;1.801;0.504;0.432;0;0.072;1.009;4.179;0;0.072;0;0.648;0.288;0.937;0.432;2.45;1.009;0.144;2.089;0;0;0;0.216;1.585;0.648;0.504;0.072;0;1.441;0.793;0.072;10.663;12.176;0.216;0.072;2.738;0;0;1.801;1.873;2.954;4.971;13.04;0.072;4.251;0;1.801;0;0;0.072;0.072;4.539;0;1.081;0;0.288;0.072;0.576;0;3.89;0.144;5.98;0;0;0.432;1.513;-10.375;-2.161;1.873;2.954;1.369;18.012;1.441;44;27;13;84;59;24;4;87;0;31;67;98;20;83;355;458;240;1;136;377;0;104;14;118;54;0;112;166;103;82;84;269;260;84;491;835;54;104;126;284;-10.591;1.511;-8.286;-1.513
13;Luiz Inácio Lula da Silva;2002;180230;PT;Partidos Socialistas;Coligação Lula Presidente; PT, PL, PCB, PMN e PC do B;5;5.051;6.061;10.956;42.113;25.408;3.963;6.449;0.220325834;0.67416602;0.103956555;0.155;0.078;0.078;1.709;0.855;0;0.233;0.622;1.088;0.389;0;0.233;0.466;3.963;0;0;0.078;1.243;0.078;3.497;0.233;5.361;1.554;0.155;0;0.155;0;0;0.544;0.544;3.807;2.253;1.01;0.078;0.544;2.253;0;14.452;7.071;0.389;1.709;2.564;0;0;4.895;1.321;0.932;9.557;9.946;0;3.652;0;0.466;0.078;0;0;0;1.554;0;1.632;0;0.233;0;0;0;4.429;0;1.554;0;0.155;0;0.311;-19.891;-8.78;0.466;3.108;6.449;19.503;-8.003;34;11;20;65;52;25;1;78;0;4;137;141;106;54;382;542;175;0;152;327;0;47;4;51;57;0;26;83;86;40;158;284;281;54;534;869;57;47;30;134;-21.989;-8.004;-9.557;-8.78
14;Geraldo Alckmin;2006;180310;PSDB;Partidos Conservadores;Coligação por um Brasil Decente; PSDB e PFL;2;2.939;3.377;14.071;42.026;23.702;6.004;7.88;0.2;0.644785276;0.136196319;1.939;0;0.063;0;1.188;0.125;0.063;1.188;0.25;0.063;0;0.125;0.375;2.376;0;0;0;0.5;0;0.563;0;6.879;6.129;0.375;0;0.125;0;0;0.313;3.565;1.939;1.126;0;0.063;0.5;2.564;0;9.631;16.448;0.063;0.188;2.314;0;0;3.315;1.689;5.128;3.315;8.63;0;4.941;0;0.625;0.063;0;0;0;4.065;0;0.938;0;0.25;0;0.063;0;3.627;0.063;3.815;0.063;0;0.063;0.25;-8.63;-0.876;0.625;2.627;3.127;11.945;-4.44;23;19;5;47;38;16;0;54;0;8;217;225;54;107;511;672;217;0;162;379;0;90;6;96;58;0;68;126;61;43;222;326;271;107;673;1051;58;90;74;222;-9.381;-4.44;-6.253;-0.815
15;Heloísa Helena;2006;180231;PSOL;Partidos Socialistas;Frente de Esquerda; PSOL, PCB e PSTU;3;13.534;10.526;16.541;21.805;20.301;2.256;15.038;0.406015038;0.421052632;0.172932331;0;0;3.008;9.023;0;0.752;0;0;0;0;0.752;0;0;6.767;0;0;3.008;0.752;0;0;0;0.752;12.03;1.504;2.256;0;0;0;0;0;9.774;0;0;0;0;1.504;0.752;0.752;0;3.759;3.759;0;1.504;0;0;1.504;0;13.534;3.759;0;1.504;0;0;0;0;0;0;0;0;0;2.256;0;0;0;0;12.782;0;2.256;0;0;0;0;-23.308;-15.789;0;0;13.534;17.293;-19.549;17;0;1;18;13;1;0;14;0;5;17;22;23;0;6;29;7;0;20;27;0;3;0;3;17;0;3;20;30;6;18;54;30;0;26;56;17;3;3;23;-51.128;-19.549;-0.752;-15.79
16;Luiz Inácio Lula da Silva;2006;180230;PT;Partidos Socialistas;A Força do Povo; PT, PCdoB e PRB;3;7.014;11.871;14.388;25.54;26.799;8.273;6.115;0.328596803;0.51687389;0.142095915;1.259;0;1.619;0.719;1.079;0;0.54;1.978;0.899;0.18;0;0;2.878;8.273;0;0;0.719;0;0;3.597;0.719;3.237;3.777;0.719;1.978;0.18;0;0.18;0;1.799;2.338;1.079;0.18;0.54;0.36;1.079;0;3.058;8.453;0.54;0.18;2.158;0;0;3.777;3.058;2.698;6.835;8.453;0;5.755;0;0.36;0;0;0.18;0.36;4.137;0.36;0;0.18;2.338;0;0.36;0;2.698;0;1.978;0;0;0.36;1.079;-12.77;-9.532;0.54;2.158;3.957;15.288;-10.971;27;6;6;39;50;16;0;66;0;17;63;80;26;24;92;142;79;0;70;149;0;29;17;46;15;0;19;34;77;39;69;185;105;24;162;291;15;29;36;80;-18.885;-10.792;1.079;-9.173
18;Dilma Rousseff;2010;180230;PT;Partidos Socialistas;Para o Brasil seguir mudando; PT, PMDB, PDT, PCdoB, PSB, PR, PRB, PSC, PTC e PTN;10;10.728;10.728;12.261;23.372;29.119;8.429;5.364;0.333333333;0.518939394;0.136363636;1.149;0;0.766;1.533;1.149;0;1.533;4.215;0.766;0.766;0;0.766;2.682;7.28;0;0;0;0;0;0.766;0;1.533;1.149;6.13;2.299;0.383;0;0;0;1.533;0.383;1.533;0;0;0.383;0;0;3.448;8.046;0.766;0.383;2.299;0;0;4.598;3.831;3.831;3.448;11.111;0;6.897;0;2.299;0;0;0;0;3.831;0;1.533;0.383;0.383;0;0;0;3.065;0;1.533;0;0.383;0;0.383;-14.559;-5.364;2.299;2.299;2.682;14.559;1.149;21;3;4;28;19;9;0;28;0;23;9;32;8;11;42;61;47;0;29;76;0;21;1;22;8;0;6;14;40;35;13;88;55;11;71;137;8;21;7;36;-13.793;1.149;1.15;-5.365
17;José Serra;2010;180310;PSDB;Partidos Conservadores;Brasil Pode Mais; PSDB, DEM, PPS, PMN, PTdoB e PTB;6;0.834;4.423;10.189;40.79;29.768;7.288;6.708;0.146341463;0.668498798;0.132600481;5.547;0.036;0.109;0;0.218;0;0;0.218;0.254;0;0;0.29;0.616;2.792;0;0;0.109;0.544;0.073;1.487;0.218;5.656;1.849;0.689;0.29;0;0;0;0.616;2.175;2.792;0.87;0;0.073;0.508;3.735;0.073;4.423;21.755;0.29;0.254;1.051;0;0;2.175;5.112;3.481;3.988;10.841;0.435;5.91;0;0.689;0;0;0.508;0.109;4.278;0.036;0.798;0;0.435;0;0.399;0.036;1.378;0.109;3.445;0;0.254;0.798;0.725;-12.582;-5.294;1.233;1.668;3.952;14.83;-2.067;9;6;8;23;80;40;2;122;0;27;254;281;118;120;887;1125;462;12;347;821;0;174;27;201;38;0;147;185;89;73;264;426;580;132;1234;1946;38;174;174;386;-11.893;-1.558;-1.885;-4.895
19;Marina Silva;2010;180110;PV;Partido Ecológico;N.A.;N.A.;0;1.923;13.462;7.692;7.692;59.615;7.692;1.923;0.226415094;0.660377358;0.094339623;1.923;0;0;0;0;0;1.923;0;0;0;0;0;3.846;7.692;0;0;1.923;0;0;1.923;0;5.769;0;0;0;0;0;0;0;0;1.923;0;0;0;0;0;0;0;3.846;0;0;0;0;0;1.923;30.769;1.923;5.769;9.615;0;11.538;0;0;0;0;0;0;3.846;0;0;0;0;0;3.846;0;1.923;0;0;0;0;0;0;-13.462;-38.462;0;0;1.923;15.385;-11.538;1;0;0;1;5;2;0;7;0;0;4;4;1;0;3;4;11;0;20;31;0;2;2;4;1;0;0;1;6;2;4;12;12;0;23;35;1;2;2;5;-28.846;-11.538;5.769;-34.615
21;Aécio Neves;2014;180310;PSDB;Partidos Conservadores;Muda Brasil; PSDB, PMN, SD, DEM, PEN, PTN, PTB, PTC e PT do B;9;2.602;4.751;11.878;29.299;31.109;9.389;10.973;0.192090395;0.603389831;0.203389831;0.113;0.113;0;0;1.131;0;0;1.131;0;0.226;0;0.113;0.905;3.167;0;0;0.566;0;0;2.715;0;8.145;0;0.452;0.113;0.452;0;0;2.828;4.299;1.131;0.792;0;0.113;0.566;0.566;0;0.566;10.181;0;0;2.602;0;0;5.656;2.489;3.394;4.638;10.747;0.905;7.692;1.244;0.452;0.113;0;0;0;4.977;0;2.036;1.244;0.452;0;0;0.113;2.828;0;3.281;0;0.679;2.262;1.923;-7.24;-4.186;0.566;5.43;1.923;15.385;-0.339;10;10;3;23;33;9;0;42;0;9;96;105;18;91;150;259;163;8;104;275;0;77;6;83;25;0;72;97;43;28;99;170;181;99;254;534;25;77;78;180;-5.09;-0.341;4.977;-4.186
